architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
resnet18,snr_20db,20.0,3,dog_bark,0.8313253012048193,0.69,0.7540983606557377,100,0.7843137254901961,0.8,0.7920792079207921,100,-0.04701157571462322,0.1100000000000001,0.03798084726505446
resnet18,snr_20db,20.0,4,drilling,0.8064516129032258,0.75,0.7772020725388601,100,0.7596153846153846,0.79,0.7745098039215687,100,-0.046836228287841175,0.040000000000000036,-0.002692268617291438
resnet18,snr_20db,20.0,5,engine_idling,0.7258064516129032,0.4838709677419355,0.5806451612903226,93,0.6185567010309279,0.6451612903225806,0.631578947368421,93,-0.10724975058197539,0.16129032258064513,0.0509337860780984
resnet18,snr_20db,20.0,6,gun_shot,1.0,0.5625,0.72,32,0.96875,0.96875,0.96875,32,-0.03125,0.40625,0.24875000000000003
resnet18,snr_20db,20.0,7,jackhammer,0.8924731182795699,0.8645833333333334,0.8783068783068783,96,0.9770114942528736,0.8854166666666666,0.9289617486338798,96,0.08453837597330371,0.02083333333333326,0.050654870327001555
resnet18,snr_20db,20.0,8,siren,0.8125,0.4698795180722891,0.5954198473282443,83,0.6025641025641025,0.5662650602409639,0.5838509316770186,83,-0.20993589743589747,0.09638554216867479,-0.011568915651225642
resnet18,snr_20db,20.0,9,street_music,0.5466666666666666,0.82,0.656,100,0.8207547169811321,0.87,0.8446601941747572,100,0.2740880503144655,0.050000000000000044,0.1886601941747572
resnet18,snr_10db,10.0,0,air_conditioner,0.6493506493506493,0.5,0.5649717514124294,100,0.5617977528089888,0.5,0.5291005291005291,100,-0.08755289654166054,0.0,-0.03587122231190032
resnet18,snr_10db,10.0,1,car_horn,1.0,0.4848484848484848,0.6530612244897959,33,0.875,0.8484848484848485,0.8615384615384616,33,-0.125,0.3636363636363637,0.20847723704866572
resnet18,snr_10db,10.0,2,children_playing,0.3863636363636363,0.85,0.53125,100,0.664,0.83,0.7377777777777778,100,0.27763636363636374,-0.020000000000000018,0.20652777777777775
resnet18,snr_10db,10.0,3,dog_bark,0.782051282051282,0.61,0.6853932584269663,100,0.797979797979798,0.79,0.7939698492462312,100,0.015928515928515963,0.18000000000000005,0.10857659081926485
resnet18,snr_10db,10.0,4,drilling,0.8441558441558441,0.65,0.7344632768361582,100,0.8160919540229885,0.71,0.7593582887700535,100,-0.028063890132855596,0.05999999999999994,0.024895011933895317
resnet18,snr_10db,10.0,5,engine_idling,0.6818181818181818,0.1612903225806451,0.2608695652173913,93,0.6,0.5483870967741935,0.5730337078651685,93,-0.08181818181818179,0.3870967741935484,0.3121641426477772
resnet18,snr_10db,10.0,6,gun_shot,1.0,0.28125,0.4390243902439024,32,0.9090909090909092,0.9375,0.9230769230769232,32,-0.09090909090909083,0.65625,0.48405253283302085
resnet18,snr_10db,10.0,7,jackhammer,0.8076923076923077,0.875,0.84,96,0.913978494623656,0.8854166666666666,0.8994708994708994,96,0.10628618693134828,0.01041666666666663,0.05947089947089945
resnet18,snr_10db,10.0,8,siren,0.75,0.3975903614457831,0.5196850393700787,83,0.6081081081081081,0.5421686746987951,0.5732484076433121,83,-0.14189189189189189,0.14457831325301207,0.05356336827323338
resnet18,snr_10db,10.0,9,street_music,0.4157894736842105,0.79,0.5448275862068965,100,0.7166666666666667,0.86,0.7818181818181819,100,0.3008771929824562,0.06999999999999995,0.23699059561128533
resnet18,snr_0db,0.0,0,air_conditioner,0.4230769230769231,0.22,0.2894736842105263,100,0.4623655913978494,0.43,0.4455958549222797,100,0.03928866832092631,0.21,0.15612217071175338
resnet18,snr_0db,0.0,1,car_horn,0.9375,0.4545454545454545,0.6122448979591837,33,0.9642857142857144,0.8181818181818182,0.8852459016393442,33,0.026785714285714413,0.36363636363636376,0.27300100368016056
resnet18,snr_0db,0.0,2,children_playing,0.2977941176470588,0.81,0.4354838709677419,100,0.5238095238095238,0.66,0.584070796460177,100,0.22601540616246502,-0.15000000000000002,0.14858692549243513
resnet18,snr_0db,0.0,3,dog_bark,0.6029411764705882,0.41,0.4880952380952381,100,0.8048780487804879,0.66,0.7252747252747253,100,0.20193687230989965,0.25000000000000006,0.23717948717948717
resnet18,snr_0db,0.0,4,drilling,0.8541666666666666,0.41,0.5540540540540541,100,0.7972972972972973,0.59,0.6781609195402298,100,-0.05686936936936937,0.18,0.12410686548617578
resnet18,snr_0db,0.0,5,engine_idling,0.5,0.075268817204301,0.1308411214953271,93,0.423728813559322,0.2688172043010752,0.3289473684210526,93,-0.07627118644067798,0.1935483870967742,0.1981062469257255
resnet18,snr_0db,0.0,6,gun_shot,1.0,0.15625,0.2702702702702703,32,0.8,0.875,0.835820895522388,32,-0.19999999999999996,0.71875,0.5655506252521177
resnet18,snr_0db,0.0,7,jackhammer,0.6126126126126126,0.7083333333333334,0.6570048309178744,96,0.7843137254901961,0.8333333333333334,0.8080808080808081,96,0.1717011128775835,0.125,0.15107597716293364
resnet18,snr_0db,0.0,8,siren,1.0,0.2409638554216867,0.3883495145631068,83,0.6119402985074627,0.4939759036144578,0.5466666666666666,83,-0.3880597014925373,0.2530120481927711,0.15831715210355984
resnet18,snr_0db,0.0,9,street_music,0.303030303030303,0.7,0.4229607250755287,100,0.4327485380116959,0.74,0.5461254612546126,100,0.1297182349813929,0.040000000000000036,0.12316473617908391
